System,RPBE (eV),OC25 (eV),UMA (eV),delta_oc25,delta_uma
2_hydroxypyridine,-2.105141330000052,-1.699036732316472,-0.005436897277718344,-0.40610459768358,-2.0997044327223335
benzaldehyde,-2.5734384000001,-1.96164834499406,-0.217100620269747,-0.61179005500604,-2.356337779730353
benzaldehyde_2_hydroxypyridine,-4.93737765000003,-3.971094623208955,-0.4700617790220747,-0.9662830267910754,-4.467315870977956
benzaldehyde_benzaldehyde,-5.121447120000084,-4.001681089402183,-0.4257936477658291,-1.1197660305979014,-4.695653472234255
benzaldehyde_benzene,-4.856081660000086,-3.733782291413206,-0.535236835479509,-1.12229936858688,-4.320844824520577
benzaldehyde_benzoic_acid,-5.35706921000002,-4.222997784615529,-0.5422797203061975,-1.1340714253844908,-4.814789489693823
benzaldehyde_benzyl_alcohol,-5.258694110000022,-4.110156178475449,-0.5284376144406053,-1.1485379315245732,-4.730256495559416
benzaldehyde_catechol,-5.259454800000071,-4.070718392730669,-0.5978431701658451,-1.1887364072694027,-4.661611629834226
benzaldehyde_cyclohexanol,-3.986565479999996,-3.132128596306757,-0.3640131950376144,-0.8544368836932388,-3.6225522849623815
benzaldehyde_cyclohexanone,-3.785713440000023,-2.993405222893728,-0.3182258605955042,-0.792308217106295,-3.467487579404519
benzaldehyde_furfural,-4.469299260000071,-3.559381246567654,-0.1926693916319664,-0.9099180134324167,-4.276629868368104
benzaldehyde_furoic_acid,-4.703222520000082,-3.736967802048639,-0.3239822387693607,-0.9662547179514434,-4.379240281230722
benzaldehyde_guaiacol,-5.170880160000024,-4.027934521437714,-0.3667883872983566,-1.1429456385623107,-4.804091772701668
benzaldehyde_o_chlorophenol,-5.053059860000019,-3.925245106221126,-0.3087925910947433,-1.127814753778893,-4.744267268905276
benzaldehyde_p_chlorophenol,-5.152947230000052,-4.01411408186047,-0.4073700904843918,-1.1388331481395824,-4.74557713951566
benzaldehyde_p_cresol,-5.170749580000091,-3.991116881371539,-0.4470176696774502,-1.1796326986285521,-4.723731910322641
benzaldehyde_phenol,-5.06793176000005,-3.915803074837584,-0.5190453529356489,-1.1521286851624661,-4.548886407064401
benzaldehyde_toluene,-4.968333710000081,-3.831394076348317,-0.4155244827267666,-1.1369396336517643,-4.552809227273315
benzaldehyde_xylene,-4.875276490000033,-3.7455514669428,-0.0932855606075691,-1.129725023057233,-4.781990929392464
benzene,-2.355076030000077,-1.703782200813663,-0.3266315460204225,-0.6512938291864141,-2.0284444839796545
benzoic_acid,-2.445489940000058,-1.866497755051171,-0.08324146270746269,-0.578992184948887,-2.3622484772925954
benzyl_alcohol,-2.650462630000064,-2.019338369370047,-0.2639470100402264,-0.6311242606300174,-2.386515619959838
catechol,-2.393293800000052,-1.785690531135145,-0.1406493186950399,-0.6076032688649069,-2.252644481305012
cyclohexanol,-1.158831230000061,-0.9171004295354805,0.03154659271248761,-0.2417308004645804,-1.1903778227125486
cyclohexanone,-1.204963660000004,-0.9201769828801503,0.005314350128230672,-0.2847866771198537,-1.2102780101282347
furfural,-1.898074489999999,-1.479210257530625,0.1170940399170917,-0.4188642324693741,-2.0151685299170907
furoic_acid,-1.644524980000057,-1.319898009300672,0.1441025733947896,-0.32462697069938495,-1.7886275533948466
guaiacol,-2.41103717,-1.812620252371403,-0.007302284240651602,-0.5984169176285972,-2.4037348857593486
o_chlorophenol,-2.227182150000047,-1.675613820553238,0.09697151184090558,-0.551568329446809,-2.3241536618409526
o_fluorophenol,-1.996720060000087,-1.411392182112209,0.04001665115366393,-0.5853278778878779,-2.036736711153751
p_chlorophenol,-2.329313200000044,-1.746393501758988,0.06192016601571027,-0.582919698241056,-2.3912333660157543
p_cresol,-2.471532240000073,-1.85060882568412,-0.05911016464229135,-0.620923414315953,-2.4124220753577816
phenol,-2.231926090000087,-1.625274419784944,-0.09043884277332381,-0.606651670215143,-2.141487247226763
toluene,-2.431331820000025,-1.788813114166757,-0.1605439186095907,-0.642518705833268,-2.270787901390434
xylene,-2.445747900000029,-1.824895858765274,0.03852987289435816,-0.6208520412347551,-2.4842777728943872
